2	304	468	387.5	582
1	271	390	347.5	479
1	245	326	312.5	406
2	223	270	286.5	343
1	204	224	262	281
1	192	176	248.5	234
2	171	139	224.5	188
1	158	101	206.5	151
1	151	75	197	116
1	139	46	182	87
2	365	425	432.5	507
2	317	353	388	431
2	302	288	362.5	357.5
1	272	235	337	297
1	254	192	315	246
1	237	148	295	199.5
1	222	117	271.5	160.5
1	202	78	257.5	127
1	192	58	236.5	93.5
1	175	31	219.5	67.5
2	542	303	591	374
2	503	241	543	312
2	468	198	507	272.5
1	431	163	472.5	225
1	400	122	441.5	182.5
1	380	92	416	152.5
1	354	63	391.5	115.5
2	335	40	372.5	94
1	315	9	352	68.5
2	570	260	630.5	322
2	533	205	585	263
2	496	165	552.5	214
1	464	124	514.5	169.5
1	434	94	478	134
1	410	61	458.5	103.5
1	389	38	428.5	74.5
1	366	11	410.5	47.5
2	561	75	590.5	136.5
2	529	50	559.5	100.5
2	500	30	532	79
