2	139	165	162	205
2	155	165	177.5	207.5
2	172	165	193.5	207.5
1	188	164	211	206.5
2	204	166	225.5	206
1	231	164	252	205
1	250	166	267.5	204
1	267	166	283.5	207
1	283	164	300	205
1	299	166	317	205
1	316	166	332	200.5
1	333	165	350	201.5
1	351	164	367	198
1	368	162	386.5	200
1	388	162	404	200
1	403	163	420.5	197.5
1	422	163	439.5	197.5
2	440	162	457.5	195
2	458	162	477.5	197.5
2	478	158	496	198
2	494	160	514	194.5
1	511	156	534	196
1	113	238	140	276
1	130	236	156.5	276
1	148	237	172.5	278
1	167	238	192.5	275.5
1	188	239	211.5	278
1	213	239	235.5	275.5
1	229	238	251.5	277
1	251	235	272.5	272.5
1	268	236	289.5	272.5
1	287	234	309.5	274
1	307	234	327.5	273
1	324	235	344	273
1	345	231	364	274.5
2	364	235	383	273
1	382	231	404	272
2	404	226	423.5	272
1	425	229	445	276
1	443	226	466	273
2	464	228	484.5	272.5
2	483	227	507	275
1	505	227	526.5	272.5
1	525	229	548.5	271.5
1	101	270	124.5	320.5
1	117	271	145.5	322.5
2	136	267	161.5	320.5
2	154	274	180	324.5
2	174	272	197.5	323.5
2	205	273	224.5	327
1	222	272	249	325.5
1	241	275	265	325
1	262	270	286	323.5
2	282	276	301.5	324
1	303	276	324	324
2	322	277	343	322.5
1	345	275	362	320.5
1	363	276	383.5	321.5
1	384	276	402.5	322
2	404	274	424	320
2	426	276	446	321.5
2	444	277	467	319.5
1	467	275	488	322
2	486	273	511	320
1	509	276	531.5	319.5
2	530	270	557	318
2	64	367	93	420.5
1	83	371	112	421
1	106	371	134.5	421.5
2	127	370	153.5	420
2	148	374	175	422
2	181	373	206	418.5
2	203	370	229	420
2	223	370	254	424
2	246	372	272.5	422.5
2	268	373	294.5	424.5
2	290	372	313	423.5
1	312	372	335.5	428
2	335	373	359	423
2	359	371	382	426
1	382	371	405	423.5
2	405	374	428.5	426.5
2	428	375	454.5	428.5
2	452	374	479	426.5
2	476	372	502	429
1	499	373	527.5	431.5
2	523	371	549.5	428
1	545	370	576	426
1	21	446	55	494
1	43	445	78.5	499
2	71	446	106	501
2	94	445	132	502
1	123	442	157.5	501.5
1	148	444	182	500
1	175	445	208.5	495.5
1	204	448	237.5	498.5
2	231	451	264	504.5
1	259	448	290.5	500.5
