2	322	488	402.5	620.5
2	351	401	425	521
2	374	355	440	444
2	386	287	450.5	382
2	405	251	459	327.5
2	416	205	469	274.5
1	426	173	478.5	236
2	437	147	489	200.5
2	449	122	491.5	168
2	235	500	324	608.5
2	339	250	398.5	309.5
2	356	215	414	265.5
2	368	176	426.5	226
2	380	150	434	190
1	399	126	442.5	159
1	181	222	219.5	290.5
2	204	189	243	248.5
2	229	159	267	218.5
2	248	134	285	182
1	265	107	303	157
2	282	88	318	133.5
1	94	245	135.5	324
2	126	214	167	279
1	158	180	195.5	241.5
2	183	151	217.5	202.5
2	205	125	240	179
2	225	105	261	155.5
1	245	87	276.5	131.5
